sample_idx,rmse,mag_rmse,angle_err_deg,time_s
0,0.07468615,0.08901880,18.0443,6.705
1,0.05379622,0.05723067,29.1314,6.587
2,0.04831870,0.04593608,30.6801,6.756
3,0.12100139,0.07638826,74.5786,6.741
4,0.03606872,0.04159008,19.3927,6.847
5,0.05986927,0.02621994,35.0068,6.749
6,0.12866406,0.11755333,67.6844,6.738
7,0.21139313,0.11183151,67.8656,6.793
8,0.06874552,0.05873154,29.7822,6.798
9,0.15831433,0.15230732,56.3121,6.879
10,0.17875411,0.14030728,65.1237,6.879
11,0.08041244,0.06731387,34.7718,6.842
12,0.13593210,0.18050817,32.2871,6.773
13,0.09423497,0.07451160,42.3227,6.763
14,0.04561723,0.04408431,25.2003,6.721
15,0.05306781,0.04032632,42.6674,6.750
16,0.04691188,0.05312230,18.3487,6.975
17,0.11501948,0.10202384,45.7343,6.906
18,0.11376217,0.15433171,15.1765,6.796
19,0.07859304,0.09403352,33.3879,6.759
20,0.04746660,0.05669817,23.7348,6.872
21,0.05533563,0.07032940,20.8778,6.841
22,0.08308970,0.07120451,53.1161,6.787
23,0.13469455,0.17850655,41.3504,6.782
24,0.12318916,0.15319896,50.9369,6.821
25,0.06583837,0.06857658,42.3192,6.839
26,0.08081870,0.06994484,49.8765,7.007
27,0.02609858,0.03189167,10.7132,6.805
28,0.05950967,0.08087566,11.8540,6.648
29,0.10962152,0.12711832,38.7485,6.606
30,0.11982559,0.08517885,80.6553,6.637
31,0.13801776,0.11592025,87.7630,6.667
32,0.08210395,0.06820537,81.5661,6.574
33,0.07891514,0.08910962,57.3099,6.829
34,0.11325346,0.11548602,117.0459,6.581
35,0.05805862,0.07393074,36.4056,6.756
36,0.08592918,0.05674382,57.0412,6.835
37,0.09860668,0.06308983,85.2412,6.747
38,0.05266329,0.05767752,18.1631,6.795
39,0.08439784,0.11650237,7.1215,6.805
40,0.08149376,0.04305379,39.5213,6.956
41,0.07077477,0.07828359,30.9679,6.818
42,0.05797149,0.05692356,37.4424,6.688
43,0.05611041,0.05453229,36.8861,6.855
44,0.11877664,0.10341383,77.7136,6.739
45,0.13503732,0.05526809,89.3806,7.012
46,0.07065188,0.07184216,67.7634,7.029
47,0.09449924,0.09209477,72.2869,6.829
48,0.03587242,0.03224788,31.1747,6.744
49,0.06186788,0.04527450,70.8171,6.918
