seed,test_idx,Physics_Informed_rmse,Physics_Informed_mag_err,Physics_Informed_angle_err_deg,Physics_Informed_time,Linear_CurlDiv_rmse,Linear_CurlDiv_mag_err,Linear_CurlDiv_angle_err_deg,Linear_CurlDiv_time
0,0,0.07721484452486038,0.03555179387331009,32.04816818237305,3.5354723893105984,0.050698257982730865,0.022541755810379982,21.372276306152344,2.7443015798926353
7,7,0.10883601754903793,0.06145692244172096,25.52451515197754,2.952325605787337,0.08115451782941818,0.044479720294475555,30.86916160583496,2.7177727203816175
14,14,0.11171036958694458,0.06544432044029236,93.28794860839844,2.509182189591229,0.06519397348165512,0.03245357424020767,39.95316696166992,2.619397717528045
21,21,0.06638582050800323,0.05098050460219383,24.870025634765625,2.5907896254211664,0.07885847240686417,0.05618893727660179,16.942873001098633,2.587147613056004
28,28,0.10134052485227585,0.04445650801062584,30.62242317199707,2.6133124185726047,0.06564510613679886,0.03593336045742035,21.188270568847656,2.612041613087058
35,35,0.039436593651771545,0.021757423877716064,32.178749084472656,2.5849614664912224,0.04792189970612526,0.028556060045957565,34.44642639160156,2.60420888569206
42,42,0.07210759818553925,0.05050867050886154,30.349796295166016,2.5929386569187045,0.04789615422487259,0.019032955169677734,23.787431716918945,2.6355273593217134
49,49,0.06105503812432289,0.025042114779353142,41.99609375,2.6667690770700574,0.07122986763715744,0.032412707805633545,45.86448287963867,2.6055587949231267
56,56,0.08596336841583252,0.05536537244915962,17.791671752929688,2.6233251467347145,0.03917089104652405,0.025028550997376442,11.318198204040527,2.66845462936908
63,63,0.046593062579631805,0.02418294921517372,46.17536163330078,2.616913255304098,0.041497912257909775,0.01941653899848461,37.97506332397461,2.6640098057687283
70,70,0.11464747786521912,0.052074480801820755,36.063594818115234,2.553662296384573,0.05044671520590782,0.030986623838543892,6.628146648406982,2.617457435466349
77,77,0.115499347448349,0.08074773848056793,41.990230560302734,2.5685098385438323,0.09743373095989227,0.0609716922044754,36.74435043334961,2.5567125976085663
84,84,0.09528741985559464,0.029346797615289688,54.6351318359375,2.513624096289277,0.04084429144859314,0.01946275681257248,19.963653564453125,2.611336345784366
91,91,0.10268647968769073,0.0518435500562191,36.082489013671875,2.5837535625323653,0.08190833032131195,0.030504656955599785,35.29364776611328,2.5748316291719675
98,98,0.1621563881635666,0.13036461174488068,30.847959518432617,2.639686919748783,0.06716252863407135,0.03984659165143967,15.469021797180176,2.584394318982959
105,105,0.03981832042336464,0.013592404313385487,72.90017700195312,2.5826798724010587,0.03322653844952583,0.014317569322884083,63.03985595703125,2.589797002263367
112,112,0.06617692112922668,0.043821703642606735,23.61797332763672,2.613095872104168,0.02946186065673828,0.01636435277760029,8.639951705932617,2.6378925032913685
119,119,0.04367697238922119,0.01818189211189747,64.89822387695312,2.6461140662431717,0.06178878992795944,0.02983003854751587,70.57158660888672,2.629515578970313
126,126,0.030700311064720154,0.013108967803418636,45.94750213623047,2.5862666154280305,0.04545821622014046,0.019137773662805557,60.23854446411133,2.61449671164155
133,133,0.12423081696033478,0.06617654114961624,37.340091705322266,2.603060219436884,0.05486258864402771,0.02886655367910862,17.104351043701172,2.558531721122563
140,140,0.1319037824869156,0.07498887181282043,45.478790283203125,2.505952024832368,0.05132661759853363,0.034531015902757645,13.257145881652832,2.5915268501266837
147,147,0.13603955507278442,0.0898425430059433,74.39512634277344,2.561635502614081,0.08919601142406464,0.047283776104450226,34.51161575317383,2.6467065578326583
154,154,0.05574052408337593,0.033762942999601364,26.158775329589844,2.589731380343437,0.054342467337846756,0.029248084872961044,23.728893280029297,2.5940253445878625
161,161,0.060767222195863724,0.026790404692292213,57.20314025878906,2.601914749480784,0.06212601810693741,0.027767030522227287,59.039249420166016,2.5830801893025637
168,168,0.06256186962127686,0.03896593302488327,23.61273956298828,2.563096573576331,0.08538926392793655,0.04271792620420456,25.68248748779297,2.764064601622522
175,175,0.10014455020427704,0.04336755350232124,37.65851974487305,2.8148111272603273,0.0755043476819992,0.03489181771874428,26.9186954498291,2.669696764089167
182,182,0.05003132298588753,0.03181875869631767,16.241558074951172,2.6071078227832913,0.022868972271680832,0.014084853231906891,6.9068522453308105,2.5777794383466244
189,189,0.08695832639932632,0.05936722084879875,45.88642501831055,2.5878832265734673,0.04261042922735214,0.016194654628634453,32.08805465698242,2.613510283641517
196,196,0.05014827474951744,0.024466723203659058,40.01974105834961,2.597423616796732,0.06937851011753082,0.043548643589019775,40.63927459716797,2.5913498289883137
203,203,0.1653035432100296,0.11508306860923767,34.363502502441406,2.5596172837540507,0.048567552119493484,0.02899894304573536,9.92779541015625,2.6302269231528044
210,210,0.09449676424264908,0.06914519518613815,20.70886993408203,2.5626498898491263,0.07450470328330994,0.041339222341775894,18.798097610473633,2.5875078812241554
217,217,0.07252371311187744,0.03134028986096382,33.447200775146484,2.603483147919178,0.10022550821304321,0.04808385670185089,30.05194664001465,2.635216912254691
224,224,0.07081056386232376,0.03128179535269737,50.85807418823242,2.5739531395956874,0.05368826165795326,0.027211498469114304,29.526437759399414,2.5592740308493376
231,231,0.1618993878364563,0.12554135918617249,21.662628173828125,2.624655061401427,0.10546768456697464,0.04902008920907974,22.055927276611328,2.6025090273469687
238,238,0.06042984500527382,0.03266044706106186,32.705230712890625,2.5947664780542254,0.08028136938810349,0.046060025691986084,26.22779083251953,2.587031885050237
245,245,0.10693662613630295,0.06381276994943619,44.89813995361328,2.6336203143000603,0.11855237185955048,0.06087746098637581,38.28922653198242,2.5219164099544287
252,252,0.10785485059022903,0.06608327478170395,72.68029022216797,2.6372805507853627,0.09996307641267776,0.04107644408941269,55.111751556396484,2.5759964790195227
259,259,0.0867653340101242,0.03460913896560669,66.86166381835938,2.6960163228213787,0.06799053400754929,0.029415110126137733,54.952415466308594,2.559266003780067
266,266,0.0859074592590332,0.053138524293899536,25.68059730529785,2.5627066334709525,0.09129396080970764,0.055967461317777634,23.00420570373535,2.5489615174010396
273,273,0.18159489333629608,0.13066020607948303,34.2281608581543,2.5590327037498355,0.1175616905093193,0.08280310034751892,17.54946517944336,2.578383886255324
280,280,0.04081927239894867,0.016417786478996277,32.8096923828125,2.665484153665602,0.08630471676588058,0.056369803845882416,29.680715560913086,2.576535902917385
287,287,0.0859437882900238,0.03990321606397629,54.763763427734375,2.608489762060344,0.06149754673242569,0.024941790848970413,30.390348434448242,2.554912641644478
294,294,0.12080536037683487,0.09129694849252701,25.79345703125,2.5869655972346663,0.08903689682483673,0.06496956199407578,16.7371883392334,2.5796248372644186
301,301,0.05397899076342583,0.03234490752220154,19.848237991333008,2.5282538449391723,0.06387697905302048,0.03578918054699898,21.073640823364258,2.632433054037392
308,308,0.09704986959695816,0.06718291342258453,39.80374526977539,2.9096010578796268,0.0714113861322403,0.03967873379588127,23.44253158569336,2.5689554074779153
315,315,0.10695874691009521,0.05833377316594124,33.95503234863281,2.6083427788689733,0.09254574775695801,0.03533855825662613,28.819374084472656,2.915728095918894
322,322,0.03836393356323242,0.015029446221888065,30.142667770385742,2.71999273262918,0.08460266143083572,0.048089299350976944,48.787574768066406,2.7712842412292957
329,329,0.09495408833026886,0.04206271469593048,31.74684715270996,2.662880281917751,0.07528617978096008,0.043117452412843704,19.211593627929688,2.694438355974853
336,336,0.08482704311609268,0.054255563765764236,48.01656723022461,2.744359918870032,0.07568743079900742,0.0387847013771534,41.97327423095703,2.5688626104965806
