seed,test_idx,RePaint_r10_rmse,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_rmse,DPS_z0.04_mag_err,DPS_z0.04_angle_err_deg,DPS_z0.04_time
0,0,0.4730607271194458,0.3174320161342621,76.64979553222656,4.249957112595439,0.25398170948028564,0.17321689426898956,61.07918930053711,0.40888591296970844,0.08711801469326019,0.04358411952853203,43.58512496948242,1.7289046719670296
7,7,0.23984158039093018,0.12837813794612885,65.01056671142578,4.2827184572815895,0.3176087737083435,0.19874216616153717,69.1651382446289,0.40598743595182896,0.20362861454486847,0.15122824907302856,59.30217742919922,1.616724545136094
14,14,0.12021013349294662,0.06124724820256233,71.90654754638672,4.28938302397728,0.12089498341083527,0.0715622752904892,64.30882263183594,0.4194079441949725,0.09622182697057724,0.05192514881491661,78.3431167602539,1.6052140155807137
21,21,0.13272392749786377,0.08646596223115921,34.91506576538086,4.317637927830219,0.2771546244621277,0.19372065365314484,72.04469299316406,0.42318638507276773,0.1495456099510193,0.05781075358390808,99.31339263916016,1.5760359102860093
28,28,0.11335498839616776,0.07341153174638748,42.502742767333984,4.306656889617443,0.19403740763664246,0.11767231673002243,51.190582275390625,0.4017921192571521,0.16874483227729797,0.09330274909734726,80.47443389892578,1.5757265966385603
35,35,0.26954972743988037,0.2075781673192978,90.80415344238281,4.160706087946892,0.1422959268093109,0.08896032720804214,83.48542022705078,0.3978835614398122,0.07890002429485321,0.04693630337715149,83.55870056152344,1.6012550462037325
42,42,0.19113430380821228,0.10503344237804413,58.15224838256836,4.228704422712326,0.3149589002132416,0.2030540555715561,71.91561126708984,0.3922356115654111,0.09767219424247742,0.049279116094112396,43.20832824707031,1.5244422368705273
49,49,0.21352115273475647,0.11486325412988663,90.98279571533203,4.106514893472195,0.19281616806983948,0.09552332013845444,89.36878967285156,0.3954425510019064,0.1014247015118599,0.03790812939405441,101.69612884521484,1.5801435438916087
56,56,0.3995541036128998,0.21064826846122742,96.70769500732422,4.2232451653108,0.5102871060371399,0.2777687907218933,100.36115264892578,0.39350628294050694,0.1622440069913864,0.09620960801839828,96.15534210205078,1.5898888977244496
63,63,0.2745662331581116,0.18482011556625366,63.666114807128906,4.307802910916507,0.15559756755828857,0.05861978977918625,99.99406433105469,0.4034214084967971,0.12035497277975082,0.03705742582678795,101.99626922607422,1.5889376690611243
