seed,test_idx,RePaint_r10_rmse,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_(latent)_rmse,DPS_z0.04_(latent)_mag_err,DPS_z0.04_(latent)_angle_err_deg,DPS_z0.04_(latent)_time,DPS_z0.04_(decode)_rmse,DPS_z0.04_(decode)_mag_err,DPS_z0.04_(decode)_angle_err_deg,DPS_z0.04_(decode)_time
0,0,0.17923127114772797,0.1019827276468277,43.7674560546875,4.4044435089454055,0.18930865824222565,0.11767493188381195,45.28702926635742,0.39656537119299173,0.1114054024219513,0.05676298588514328,49.99386978149414,1.8229299113154411,0.26855966448783875,0.1656552106142044,45.588409423828125,2.2617726316675544
7,7,0.24770836532115936,0.1531776338815689,68.35586547851562,4.204778947867453,0.13333097100257874,0.09012241661548615,42.822452545166016,0.4138545151799917,0.15388578176498413,0.10101770609617233,40.0389404296875,1.7492269007489085,0.13002905249595642,0.05820360779762268,41.32150650024414,2.3096694434061646
14,14,0.1588233858346939,0.08977291733026505,68.82637023925781,4.2141894875094295,0.2157239466905594,0.03154653310775757,115.96207427978516,0.39218887500464916,0.12672439217567444,0.05849725753068924,111.85709381103516,1.709506538696587,0.18808993697166443,0.048248592764139175,109.56748962402344,2.2392333624884486
21,21,0.17823946475982666,0.11195377260446548,42.27668380737305,4.195459000766277,0.1395833045244217,0.06704068183898926,79.70010375976562,0.3922693422064185,0.13230739533901215,0.09406685084104538,44.37089538574219,1.6645882772281766,0.12281610816717148,0.05585230886936188,72.80278015136719,2.2250944580882788
28,28,0.1396750658750534,0.10168585181236267,45.83362579345703,4.225085945799947,0.16462011635303497,0.100681833922863,51.25706481933594,0.39394275564700365,0.13582484424114227,0.08679893612861633,60.16555404663086,1.6572120124474168,0.12271663546562195,0.06067974120378494,39.069923400878906,2.2546795019879937
35,35,0.21558628976345062,0.14742791652679443,70.11980438232422,4.417698462493718,0.14107267558574677,0.08055198192596436,80.71968078613281,0.4017121223732829,0.06372421979904175,0.0359143391251564,61.499114990234375,1.7906203335151076,0.08387631922960281,0.03911213204264641,63.07365036010742,2.337987467646599
42,42,0.18611279129981995,0.10637696087360382,60.19215774536133,4.261455613188446,0.28893741965293884,0.14304816722869873,90.71788787841797,0.3957891408354044,0.11256254464387894,0.05434263497591019,50.87042236328125,1.7812734032049775,0.13857842981815338,0.05817120894789696,86.74273681640625,2.274851626716554
49,49,0.24960145354270935,0.13842174410820007,103.77528381347656,4.159743615426123,0.29482418298721313,0.18567249178886414,96.1358413696289,0.42074479069560766,0.20107236504554749,0.12091924250125885,76.54364776611328,1.731989567168057,0.11046276241540909,0.058737609535455704,56.530879974365234,2.3384584225714207
56,56,0.27564966678619385,0.10410328209400177,97.7781753540039,4.256346113979816,0.44469448924064636,0.23428134620189667,100.87199401855469,0.3933493625372648,0.15555882453918457,0.07602943480014801,67.79521179199219,1.7217034688219428,0.0815345048904419,0.052987370640039444,20.509292602539062,2.333804522641003
63,63,0.3266294002532959,0.20007404685020447,100.63054656982422,4.233568228781223,0.21613964438438416,0.11493217945098877,86.73754119873047,0.395094140432775,0.1007862240076065,0.05552654713392258,85.83467864990234,1.7456804271787405,0.08912146091461182,0.04360281676054001,67.32128143310547,2.2358569391071796
