seed,test_idx,RePaint_r10_rmse,RePaint_r10_time,RePaint_r1_rmse,RePaint_r1_time,DPS_z0.5_rmse,DPS_z0.5_time,DPS_z0.04_rmse,DPS_z0.04_time,RD_r1_z0.5_rmse,RD_r1_z0.5_time,RD_r1_z0.04_rmse,RD_r1_z0.04_time,DDIM_eta0_rmse,DDIM_eta0_time,DDIM_eta1_rmse,DDIM_eta1_time,DDIM_DPS_e0_z0.5_rmse,DDIM_DPS_e0_z0.5_time,DDIM_DPS_e0_z0.04_rmse,DDIM_DPS_e0_z0.04_time,DDIM_DPS_e1_z0.5_rmse,DDIM_DPS_e1_z0.5_time,DDIM_DPS_e1_z0.04_rmse,DDIM_DPS_e1_z0.04_time
0,0,0.068734310567379,7.065645392052829,0.1711387038230896,0.6504259752109647,0.16552983224391937,2.7663529347628355,0.07635856419801712,2.579129468649626,0.1580485850572586,2.5423654159530997,0.03923804685473442,2.6468600668013096,0.06850670278072357,0.7530918605625629,0.07433320581912994,0.6496652066707611,0.17111922800540924,2.146242051385343,0.05055757611989975,2.039456455036998,0.12903153896331787,2.068920899182558,0.06097204238176346,2.0963800186291337
7,7,0.06685270369052887,6.704793926328421,0.06850749254226685,0.6476527228951454,0.08054260164499283,2.4933185670524836,0.08639787137508392,2.5364720672369003,0.09876002371311188,2.5208859648555517,0.03577446937561035,2.5766584863886237,0.12884648144245148,0.7296350495889783,0.07474897056818008,0.6532485447824001,0.17165635526180267,2.0558875873684883,0.05907262861728668,1.9749018149450421,0.07151012867689133,2.017152943648398,0.04597529396414757,2.0527707543224096
14,14,0.17341744899749756,6.658664247952402,0.07236040383577347,0.6509866341948509,0.10322106629610062,2.529479518532753,0.12128467112779617,2.501825382001698,0.12790046632289886,2.5487493630498648,0.09588176757097244,2.6003896901383996,0.0858365073800087,0.729231801815331,0.1784391850233078,0.6524337558075786,0.213659405708313,2.0200550677254796,0.09610391408205032,1.9351285081356764,0.08974897861480713,2.0352675346657634,0.07373372465372086,2.012650771997869
21,21,0.0433133989572525,6.813249742612243,0.04166029766201973,0.6390509381890297,0.06725043058395386,2.4337897393852472,0.034507136791944504,2.542796477675438,0.11587182432413101,2.647889431566,0.05930100008845329,2.5779762398451567,0.16869451105594635,0.7534926338121295,0.09020805358886719,0.6519716260954738,0.09634024649858475,1.9996684500947595,0.043388236314058304,2.0098771024495363,0.1476949155330658,2.0067784814164042,0.16366174817085266,2.0835290271788836
28,28,0.09325197339057922,6.743819385766983,0.09631986171007156,0.6558516453951597,0.07451377063989639,2.482268938794732,0.0436679944396019,2.856716161593795,0.07590088993310928,2.632335877045989,0.05222940444946289,2.561190366744995,0.08864253014326096,0.7419714238494635,0.19684432446956635,0.6611364604905248,0.16499532759189606,2.0022035045549273,0.08712902665138245,2.0600932147353888,0.09909164905548096,2.0058153057470918,0.028504930436611176,2.0109046855941415
35,35,0.06535281240940094,6.696188907139003,0.07895545661449432,0.635863896459341,0.11738333851099014,2.3554116720333695,0.08355061709880829,2.5500315306708217,0.19253970682621002,2.644725438207388,0.021898848935961723,2.540426685474813,0.06947960704565048,0.7353349030017853,0.07430659979581833,0.6349286260083318,0.1440448760986328,1.9668729659169912,0.05610273778438568,1.988635390996933,0.13452079892158508,2.010974967852235,0.0457582026720047,1.9757882431149483
42,42,0.09142821282148361,6.822798062115908,0.12326771765947342,0.6689230585470796,0.14868764579296112,2.459123237989843,0.02693002298474312,2.5069766184315085,0.18963485956192017,2.549510406330228,0.042855434119701385,2.5012951036915183,0.19180020689964294,0.7277964968234301,0.10600201040506363,0.6545375194400549,0.13051192462444305,1.6532403556630015,0.06022390350699425,1.9745086515322328,0.17050473392009735,2.0890689697116613,0.02629236690700054,2.051443390548229
49,49,0.05649293214082718,6.864757005125284,0.06144464761018753,0.6365060498937964,0.27553480863571167,2.5663341227918863,0.059976574033498764,2.546760292723775,0.26767975091934204,2.5613142531365156,0.04117613285779953,2.572374865412712,0.07024385035037994,0.7356049055233598,0.08072352409362793,0.6398390056565404,0.25417041778564453,2.070095024071634,0.10369814932346344,2.0067136716097593,0.24352051317691803,2.015288862399757,0.057104647159576416,1.9619038542732596
56,56,0.08459925651550293,6.654839781112969,0.13725855946540833,0.6478938153013587,0.024200981482863426,2.4312588665634394,0.03022785298526287,2.5327035849913955,0.02054249495267868,2.517138714902103,0.026166215538978577,2.551957791671157,0.2161611020565033,0.6669727442786098,0.11850561201572418,0.6297176601365209,0.08837135136127472,1.9770511239767075,0.024667996913194656,2.051260719075799,0.03784708306193352,2.056615175679326,0.02678462117910385,2.0196638898923993
63,63,0.05573512986302376,6.729744237847626,0.15436048805713654,0.6505832672119141,0.03966350480914116,2.5572318071499467,0.024290265515446663,2.569153851829469,0.03936470299959183,2.5593592198565602,0.020849304273724556,2.561169837601483,0.04205462336540222,0.6802517548203468,0.04757006838917732,0.6941091697663069,0.07397615164518356,2.0157277612015605,0.0365913026034832,2.012402764521539,0.03540697321295738,2.049831642769277,0.026866497471928596,1.9616535296663642
70,70,0.12478141486644745,6.785656823776662,0.06708008050918579,0.6526645524427295,0.06859900057315826,2.500981924124062,0.06054132059216499,2.4739873437210917,0.13761812448501587,2.538213085383177,0.05902448296546936,2.5932752210646868,0.26481232047080994,0.7384723825380206,0.09319060295820236,0.6571210157126188,0.14260020852088928,2.066283035092056,0.06329058855772018,1.9240580797195435,0.0781039297580719,1.9460456632077694,0.03611980378627777,1.9114066120237112
