12 Methods  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 100

Method                    Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
---------------------------------------------------------------------------
RePaint r=10                 0.0978     0.0485   0.0226   0.2608          6.74
RePaint r=1                  0.1062     0.0511   0.0353   0.2948          0.65
DPS z=0.5                    0.1221     0.0566   0.0142   0.3304          2.48
DPS z=0.04                   0.0583     0.0256   0.0210   0.1439          2.53
RD r=1 z=0.5                 0.1319     0.0575   0.0205   0.3254          2.58
RD r=1 z=0.04                0.0611     0.0259   0.0208   0.1342          2.59
DDIM eta=0                   0.1241     0.0567   0.0421   0.3380          0.73
DDIM eta=1                   0.1046     0.0462   0.0411   0.3069          0.65
DDIM+DPS e0 z=0.5            0.1725     0.0615   0.0711   0.3909          2.01
DDIM+DPS e0 z=0.04           0.0665     0.0248   0.0195   0.1610          2.00
DDIM+DPS e1 z=0.5            0.1184     0.0561   0.0164   0.3406          2.01
DDIM+DPS e1 z=0.04           0.0569     0.0257   0.0138   0.1637          2.00

Per-seed breakdown:
    Seed   idx  RePaint r=      t  RePaint r=      t   DPS z=0.5      t  DPS z=0.04      t  RD r=1 z=0      t  RD r=1 z=0      t  DDIM eta=0      t  DDIM eta=1      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t  DDIM+DPS e      t
     147   147      0.2035    6.7      0.1209    0.7      0.0917    2.5      0.0482    2.5      0.1329    2.6      0.0513    2.6      0.1589    0.7      0.1658    0.6      0.1357    1.9      0.1087    2.0      0.1236    1.9      0.0425    2.0
     154   154      0.0747    6.7      0.1406    0.6      0.1071    2.5      0.0646    2.5      0.1156    2.6      0.0345    2.5      0.1336    0.7      0.0929    0.6      0.1319    1.9      0.0323    2.0      0.1384    2.0      0.0441    2.1
     161   161      0.1232    6.8      0.0920    0.6      0.1815    2.5      0.0339    2.5      0.1429    2.6      0.0519    2.6      0.0638    0.8      0.0662    0.7      0.1994    2.0      0.0552    2.0      0.0801    2.0      0.0442    2.0
     168   168      0.0796    6.8      0.0944    0.7      0.0344    2.5      0.0327    2.5      0.0629    2.6      0.0456    2.6      0.0924    0.7      0.0561    0.7      0.1144    2.0      0.0376    1.9      0.0367    1.9      0.0648    2.0
     175   175      0.0700    6.7      0.1075    0.7      0.1279    2.5      0.0581    2.6      0.1303    2.9      0.0798    2.6      0.0732    0.7      0.0506    0.6      0.2351    2.1      0.0705    2.0      0.1806    2.1      0.0518    2.1
     182   182      0.0538    6.7      0.0900    0.6      0.0142    2.4      0.0210    2.5      0.0668    2.7      0.0208    2.6      0.0999    0.8      0.0679    0.6      0.0922    2.0      0.0195    2.0      0.0164    2.0      0.0289    2.0
     189   189      0.0641    6.9      0.0833    0.7      0.1105    2.6      0.0289    2.5      0.0610    2.5      0.0379    2.6      0.1395    0.7      0.0736    0.7      0.1277    2.0      0.0438    2.1      0.0544    2.0      0.0411    2.1
     196   196      0.0631    6.5      0.0407    0.6      0.1021    2.5      0.0394    2.5      0.1126    2.5      0.0456    2.5      0.0706    0.7      0.0783    0.7      0.1362    2.0      0.0381    2.0      0.0582    1.9      0.0338    1.9
     203   203      0.0999    6.5      0.2083    0.6      0.2162    2.5      0.0379    2.5      0.1690    2.6      0.0629    2.6      0.2546    0.7      0.0525    0.6      0.2055    2.1      0.0511    2.1      0.1499    2.1      0.0486    2.0
     210   210      0.0527    6.8      0.1019    0.6      0.0769    2.5      0.0333    2.5      0.1599    2.6      0.0562    2.6      0.0630    0.7      0.1288    0.7      0.2319    2.0      0.0692    1.9      0.1754    1.9      0.0794    2.0
