seed,test_idx,RePaint_r=10_rmse,RePaint_r=10_time,RePaint_r=1_rmse,RePaint_r=1_time,DPS_z=0.5_rmse,DPS_z=0.5_time,DPS_z=0.04_rmse,DPS_z=0.04_time,RD_r=1_z=0.5_rmse,RD_r=1_z=0.5_time,RD_r=1_z=0.04_rmse,RD_r=1_z=0.04_time
0,0,0.05237723886966705,9.981490489997668,0.07723013311624527,0.7790878899977542,0.18332283198833466,3.3841755430039484,0.04097222536802292,3.1064588709850796,0.18133258819580078,3.3111046960111707,0.05616465583443642,3.1891074269951787
7,7,0.12948055565357208,8.529064047004795,0.09588398039340973,0.8633383699925616,0.10586996376514435,3.5502172989945393,0.0528542697429657,3.0880188300216105,0.11378978937864304,3.412773104995722,0.103635773062706,3.15315643500071
14,14,0.08748583495616913,8.130545098974835,0.09353040158748627,0.7748477610002737,0.10678472369909286,3.033062431990402,0.05694098770618439,3.111866535007721,0.2184402346611023,3.1129483559925575,0.08325736224651337,2.7865087059908547
21,21,0.06812026351690292,8.049075071001425,0.0849834531545639,0.8138226209848654,0.05505036935210228,2.6366197839961387,0.0424327589571476,2.8069717650068924,0.057066988199949265,3.0350394120032433,0.07287366688251495,3.126747755013639
28,28,0.1562531441450119,8.452376711997204,0.11351682245731354,0.8645752549928147,0.04383513331413269,3.112376620993018,0.04256273806095123,3.1168358199938666,0.06409395486116409,3.1000920980004594,0.04801299795508385,3.078553629980888
35,35,0.14515496790409088,7.983198212983552,0.1410815417766571,0.8019109519955236,0.07393043488264084,2.9828837270033546,0.05201928690075874,3.0174516690021846,0.20910541713237762,3.1671720900048967,0.03347700834274292,3.1214297479891684
42,42,0.029885485768318176,7.972156154981349,0.08622350543737411,0.8054271269938909,0.10327935963869095,3.046854999003699,0.05555474013090134,3.094451240001945,0.18987512588500977,3.0789662069873884,0.04133010283112526,3.1608731219894253
49,49,0.10604102909564972,7.947367203014437,0.16049699485301971,0.787489309994271,0.23310105502605438,3.049221078021219,0.0483272559940815,3.0899671700026374,0.2708408534526825,3.0359003389894497,0.10006397217512131,3.113804591994267
56,56,0.059016525745391846,8.25491829100065,0.07030327618122101,0.8013551679905504,0.02544650435447693,2.9189566429995466,0.02408025413751602,2.3502524660143536,0.03102671355009079,2.3945427110011224,0.029120726510882378,3.1606223190028686
63,63,0.044090427458286285,8.114849580975715,0.10678187012672424,0.7892369750188664,0.04055333510041237,3.004710880020866,0.027309484779834747,3.1159541080123745,0.031184839084744453,3.2170251549978275,0.02643209882080555,3.1707132300070953
70,70,0.07610927522182465,7.964326571993297,0.16392463445663452,0.7834338190150447,0.10944981873035431,3.008945057023084,0.029602373018860817,3.0550450299924705,0.12787598371505737,3.0919853069935925,0.052381981164216995,3.123841385997366
77,77,0.1923382729291916,8.162801658996614,0.09435885399580002,0.7976462189981248,0.13861478865146637,3.028976046014577,0.07988741248846054,3.0463913150015287,0.13910405337810516,3.0944181680097245,0.03228503093123436,3.1444431690033525
84,84,0.08007052540779114,8.156458876997931,0.12176603078842163,0.7796581170114223,0.12460461258888245,2.630527080007596,0.04960155487060547,3.0542898639978375,0.21038760244846344,2.8952679130015895,0.05275927484035492,3.0997724540065974
91,91,0.13043497502803802,7.954718254011823,0.14953646063804626,0.7775227210076991,0.08244257420301437,3.1777395799872465,0.07913070172071457,3.1051701059914194,0.08556686341762543,3.0953702840197366,0.06711173802614212,3.2616801759868395
98,98,0.08640818297863007,8.317489256005501,0.13674519956111908,0.7833076380193233,0.15192623436450958,2.9461839119903743,0.044532157480716705,3.06392173198401,0.15732359886169434,3.14286568298121,0.055420324206352234,3.1564998099929653
105,105,0.057151202112436295,8.04040726000676,0.027535634115338326,0.7859879950119648,0.05839376524090767,2.4251459920196794,0.03521755337715149,2.2938180759956595,0.05354004353284836,2.2941519019950647,0.03758342191576958,2.3027054789999966
112,112,0.0875035747885704,7.892891544004669,0.11747043579816818,0.7823637969850097,0.018071742728352547,2.7272777240141295,0.05513806268572807,3.0134915460075717,0.02143065258860588,3.067880171001889,0.04219047725200653,3.0893336909939535
119,119,0.0729210376739502,8.061203099001432,0.04230878874659538,0.7736030099913478,0.0398450642824173,3.016505697974935,0.05430572107434273,3.035219875018811,0.15707997977733612,3.072172234999016,0.03572355583310127,2.8797293239913415
126,126,0.09019216895103455,8.003073899017181,0.16611674427986145,0.7819059260073118,0.1980825513601303,3.0373714090092108,0.057469118386507034,3.1238409299985506,0.025526346638798714,3.1093214050051756,0.04770023748278618,3.0758039669890422
133,133,0.08271705359220505,8.039499698992586,0.12940001487731934,0.7861362329858821,0.16729679703712463,2.4341419189877342,0.026473157107830048,2.2692311360151507,0.17969182133674622,2.306553492002422,0.051473237574100494,2.3477728120051324
140,140,0.05189181864261627,7.927927597978851,0.28247860074043274,0.7804289670020808,0.11238504201173782,2.29633433901472,0.047016654163599014,2.285756130993832,0.11329960823059082,2.314828356989892,0.05023175850510597,2.346533611009363
147,147,0.14217844605445862,7.88928618299542,0.1568761169910431,0.7785934220009949,0.1553577482700348,2.3159715960209724,0.1440749168395996,2.2584318419976626,0.27513471245765686,2.2722302839974873,0.08839084208011627,2.269808776996797
