6 Methods  —  T=1000  stride=10
Checkpoint : /root/Repaint_vs_DPS/checkpoints_linear/best_model_linear.pt
Schedule   : linear   noise_std=0.11619
N seeds    : 100

Method                  Mean RMSE   Std RMSE      Min      Max  Mean Time(s)
---------------------------------------------------------------------------
RePaint r=10               0.0905     0.0391   0.0296   0.1946          8.16
RePaint r=1                0.1159     0.0506   0.0275   0.3084          0.80
DPS z=0.5                  0.1303     0.0643   0.0168   0.3418          2.96
DPS z=0.04                 0.0610     0.0226   0.0241   0.1441          2.98
RD r=1 z=0.5               0.1404     0.0661   0.0214   0.3666          3.02
RD r=1 z=0.04              0.0585     0.0257   0.0162   0.1878          3.00

Per-seed breakdown:
    Seed   idx  RePaint r=      t  RePaint r=      t   DPS z=0.5      t  DPS z=0.04      t  RD r=1 z=0      t  RD r=1 z=0      t
     322   322      0.1842    7.9      0.1119    0.8      0.2056    3.1      0.0505    3.1      0.1595    3.2      0.0395    3.1
     329   329      0.1190    8.1      0.1073    0.8      0.0608    2.9      0.0377    2.9      0.0299    3.1      0.0695    3.1
     336   336      0.1620    8.0      0.0764    0.8      0.1780    3.0      0.0616    3.2      0.2321    3.1      0.0861    3.1
     343   343      0.1307    8.0      0.1214    0.8      0.0659    3.0      0.0628    3.0      0.0731    3.2      0.0432    3.1
     350   350      0.0401    8.0      0.0857    0.8      0.0914    2.8      0.0959    3.0      0.1952    3.1      0.0715    3.1
     357   357      0.1921    7.9      0.0987    0.8      0.0855    3.0      0.0731    3.1      0.0611    3.1      0.0458    3.1
     364   364      0.1328    7.9      0.0784    0.8      0.0891    3.1      0.1085    3.1      0.1361    3.1      0.0736    3.1
     371   371      0.0691    8.0      0.0684    0.8      0.1152    3.0      0.0595    3.1      0.1347    2.6      0.0676    2.3
     378   378      0.0573    7.9      0.1219    0.8      0.1490    2.3      0.0546    2.3      0.1871    3.1      0.0300    3.0
     385   385      0.0376    8.4      0.0684    0.8      0.1666    3.1      0.0436    3.1      0.0571    3.2      0.0249    3.1
     392   392      0.0745    8.5      0.1216    0.8      0.1140    2.7      0.0496    3.0      0.1771    3.1      0.0414    3.1
     399   399      0.1022    8.4      0.1238    0.8      0.1369    3.1      0.0640    3.0      0.2014    3.0      0.0525    2.3
     406   406      0.0695    7.9      0.0919    0.8      0.1333    2.3      0.0543    2.9      0.1786    3.1      0.0412    3.1
     413   413      0.0460    8.2      0.0749    0.8      0.0644    3.1      0.0404    3.1      0.1199    3.1      0.0527    3.1
     420   420      0.0717    8.0      0.0885    0.8      0.0861    3.1      0.0582    3.1      0.1009    3.1      0.0495    3.1
     427   427      0.0620    8.0      0.0718    0.8      0.0662    3.0      0.0531    3.1      0.0599    3.1      0.0541    3.0
     434   434      0.0573    8.2      0.0976    0.8      0.0761    3.2      0.0437    3.1      0.0960    3.1      0.0324    3.1
     441   441      0.0611    8.4      0.2166    0.8      0.1415    2.8      0.0720    2.3      0.2303    2.3      0.0717    3.0
     448   448      0.0339    8.3      0.2224    0.8      0.1275    3.1      0.0496    3.0      0.1383    3.2      0.0547    3.2
     455   455      0.0784    8.1      0.0886    0.8      0.0742    3.1      0.0607    3.1      0.0899    3.2      0.0452    3.5
     462   462      0.0557    8.6      0.1322    0.8      0.1164    3.2      0.0580    3.1      0.2030    3.1      0.0538    3.1
     469   469      0.1107    8.2      0.1724    0.8      0.1891    2.9      0.1399    3.0      0.2639    3.2      0.1052    3.0
     476   476      0.0956    8.7      0.1125    0.8      0.1107    2.8      0.0309    3.1      0.0816    3.1      0.1152    3.1
     483   483      0.0940    8.4      0.1381    0.8      0.1059    3.1      0.0910    3.1      0.1194    3.1      0.0459    3.0
     490   490      0.0826    8.4      0.1581    0.8      0.1492    3.0      0.0625    3.0      0.1739    3.2      0.0763    3.1
     497   497      0.0670    8.2      0.1077    0.8      0.1970    2.8      0.0972    3.1      0.2305    3.1      0.1221    2.9
     504   504      0.1193    7.9      0.0858    0.8      0.1696    3.0      0.0641    3.0      0.1673    3.1      0.0450    3.1
     511   511      0.0753    7.9      0.1250    0.8      0.2243    3.0      0.0492    3.1      0.1649    3.1      0.0606    3.1
     518   518      0.0787    8.0      0.1708    0.8      0.1860    3.1      0.0430    3.1      0.1921    3.2      0.0332    3.1
     525   525      0.1040    7.9      0.0594    0.8      0.1221    3.0      0.0349    3.1      0.0722    3.1      0.0328    3.1
     532   532      0.1011    7.9      0.0841    0.8      0.1596    2.6      0.0778    2.6      0.1592    3.0      0.0475    3.2
     539   539      0.0795    8.5      0.3084    0.8      0.2035    3.0      0.0475    3.1      0.2417    2.9      0.0451    2.5
     546   546      0.1064    8.4      0.1308    0.9      0.1299    3.1      0.0533    3.1      0.2630    3.1      0.0495    3.1
     553   553      0.1337    7.9      0.1467    0.8      0.0790    3.1      0.0783    3.1      0.1155    3.2      0.0832    3.1
     560   560      0.0666    8.5      0.0961    0.8      0.1481    3.0      0.0599    3.0      0.1422    3.3      0.0729    3.1
     567   567      0.0903    8.2      0.1455    0.9      0.2590    3.1      0.0687    3.0      0.1547    3.2      0.0517    3.1
     574   574      0.1691    8.0      0.1243    0.8      0.1062    3.1      0.0485    3.2      0.1061    2.7      0.0395    3.3
     581   581      0.1712    8.9      0.1917    0.9      0.0881    3.2      0.0827    3.2      0.0930    2.4      0.0984    3.2
     588   588      0.1004    8.3      0.0676    0.8      0.0833    4.2      0.0624    3.2      0.0995    3.1      0.0754    3.2
     595   595      0.1258    8.1      0.1703    0.8      0.0751    3.0      0.0468    3.1      0.1823    3.2      0.0746    3.1
     602   602      0.1768    8.4      0.2729    0.8      0.1728    3.1      0.0863    3.1      0.1296    3.3      0.1387    3.2
     609   609      0.0878    8.1      0.1040    0.8      0.0526    3.0      0.0803    3.0      0.0502    3.1      0.0543    3.1
     616   616      0.0473    7.9      0.1024    0.8      0.0408    3.0      0.0644    3.1      0.0625    3.1      0.0402    2.5
     623   623      0.1237    8.4      0.1508    0.8      0.1800    2.6      0.0844    3.1      0.1432    3.1      0.0609    3.0
     630   630      0.1070    8.1      0.1765    0.8      0.1145    3.1      0.0550    3.1      0.0783    3.1      0.0410    2.9
     637   637      0.0691    8.0      0.1166    0.8      0.1479    3.0      0.1210    3.1      0.1280    3.2      0.1878    3.1
     644   644      0.1946    8.2      0.1322    0.8      0.0695    3.1      0.0750    3.1      0.0672    3.1      0.0718    3.1
     651   651      0.0874    8.1      0.1306    0.8      0.1080    3.0      0.0422    3.2      0.1207    3.2      0.0692    3.2
     658   658      0.1040    8.2      0.0642    0.8      0.0649    3.1      0.0729    3.2      0.0709    3.1      0.0754    3.1
     665   665      0.1074    7.9      0.0932    0.8      0.2416    3.1      0.1028    3.1      0.2005    3.2      0.0777    3.1
     672   672      0.0505    7.9      0.0602    0.8      0.2488    3.1      0.0686    3.2      0.2199    3.0      0.0300    2.4
     679   679      0.0532    7.8      0.0849    0.8      0.0641    2.3      0.0525    2.6      0.0839    3.2      0.0483    3.2
     686   686      0.0811    8.4      0.1481    0.8      0.1879    3.1      0.0966    2.6      0.1381    2.3      0.0891    3.0
     693   693      0.1225    8.3      0.1269    0.8      0.1897    3.0      0.0878    3.1      0.1874    3.1      0.0543    3.0
