seed,test_idx,RePaint_r10_mag_err,RePaint_r10_angle_err_deg,RePaint_r10_time,RePaint_r1_mag_err,RePaint_r1_angle_err_deg,RePaint_r1_time,DPS_z0.04_mag_err,DPS_z0.04_angle_err_deg,DPS_z0.04_time
0,0,0.09724325686693192,35.374454498291016,6.728237586095929,0.06304454803466797,51.32067108154297,0.627454380504787,0.043313607573509216,23.056669235229492,2.4329370968043804
7,7,0.07634442299604416,79.24604034423828,6.352428488433361,0.13469409942626953,116.14518737792969,0.6092640683054924,0.035643067210912704,26.796281814575195,2.1989599307999015
14,14,0.13105523586273193,71.6646957397461,6.227972398512065,0.09868847578763962,53.12715530395508,0.5964145185425878,0.09016146510839462,59.062171936035156,2.2884007999673486
21,21,0.054015304893255234,27.424266815185547,6.222202705219388,0.05177748203277588,111.97288513183594,0.6079686116427183,0.06534425914287567,22.595962524414062,2.2761744167655706
28,28,0.0398285947740078,15.903343200683594,6.319691892713308,0.09267151355743408,103.7351303100586,0.587438965216279,0.01982736773788929,10.734827995300293,2.269162906333804
35,35,0.2178325057029724,33.55091094970703,6.440236655063927,0.09651660174131393,31.368215560913086,0.6203551962971687,0.047124672681093216,34.28926086425781,2.2034925501793623
42,42,0.1646946668624878,38.83774185180664,6.263770730234683,0.08528538048267365,41.455387115478516,0.6074466872960329,0.023328017443418503,22.860172271728516,2.2890398129820824
49,49,0.14293250441551208,65.45405578613281,6.450950820930302,0.11790013313293457,61.594398498535156,0.6014765501022339,0.027698148041963577,42.527591705322266,2.2195837618783116
56,56,0.05242021009325981,18.189041137695312,6.398067847825587,0.04636230319738388,88.76422882080078,0.6109552746638656,0.023458246141672134,8.637969970703125,2.24422403331846
63,63,0.11076251417398453,62.75542449951172,6.218999199569225,0.13583418726921082,79.52946472167969,0.5908594448119402,0.020365562289953232,44.47321701049805,2.2582284659147263
70,70,0.0771319642663002,13.278430938720703,6.4825523514300585,0.1258150041103363,69.33735656738281,0.591757002286613,0.05054325982928276,13.071929931640625,2.2996677374467254
77,77,0.05505884811282158,26.247282028198242,6.35915697272867,0.0514477863907814,64.3616714477539,0.6405965127050877,0.031239712610840797,34.97836685180664,2.302332471124828
84,84,0.03919480741024017,46.331695556640625,6.383601292036474,0.03178456053137779,39.69727325439453,0.5828979378566146,0.04574909433722496,36.860103607177734,2.2389076901599765
91,91,0.0378621406853199,43.570152282714844,6.367037054151297,0.08519680798053741,48.64336013793945,0.6283283354714513,0.03408768028020859,29.602020263671875,2.235420463606715
